Objects in View; FPS
202;0.000000
205;0.000000
188;0.000000
188;0.000000
187;0.000000
188;0.000000
187;0.000000
186;0.000000
185;0.000000
186;0.000000
186;0.000000
186;0.000000
185;0.000000
186;0.000000
185;0.000000
186;0.000000
185;0.000000
184;0.000000
185;0.000000
184;0.000000
185;0.000000
185;0.000000
184;0.000000
184;0.000000
185;0.000000
184;0.000000
183;0.000000
184;0.000000
184;0.000000
185;0.000000
186;0.000000
186;0.000000
187;0.000000
188;0.000000
189;0.000000
192;0.000000
191;0.000000
189;0.000000
189;0.000000
188;0.000000
188;0.000000
187;0.000000
187;0.000000
188;0.000000
188;0.000000
187;0.000000
187;0.000000
188;0.000000
187;0.000000
188;0.000000
188;0.000000
187;0.000000
188;0.000000
188;0.000000
188;0.000000
190;0.000000
188;0.000000
189;0.000000
189;0.000000
189;0.000000
191;0.000000
191;0.000000
192;0.000000
191;0.000000
191;0.000000
192;0.000000
192;0.000000
191;0.000000
193;0.000000
193;0.000000
193;0.000000
195;0.000000
196;0.000000
196;0.000000
197;0.000000
196;0.000000
197;0.000000
198;0.000000
199;0.000000
199;0.000000
200;0.000000
200;0.000000
202;0.000000
203;0.000000
203;0.000000
203;0.000000
204;0.000000
205;86.352005
188;86.352005
173;158.260559
173;165.896606
188;169.551834
206;168.398285
201;164.684280
189;167.517700
178;170.822876
187;174.224731
186;165.552231
180;165.330276
189;165.690018
204;174.587997
203;171.217407
186;166.318024
174;165.324875
173;169.352295
192;173.201599
207;167.938782
202;162.136536
184;164.773300
175;170.789642
