Objects in View; FPS
49;420,885834
49;351,319763
51;371,450226
53;355,905334
51;362,529633
48;364,596649
49;361,674103
52;366,075928
51;355,429199
50;350,449249
48;361,748688
52;364,181091
52;365,270477
50;352,487976
49;366,394836
49;368,142822
50;358,732880
53;364,957397
51;353,113403
48;358,326996
49;370,299438
