Objects in View; FPS
367;0.000000
370;0.000000
351;0.000000
350;0.000000
348;0.000000
347;0.000000
346;0.000000
347;0.000000
346;0.000000
345;0.000000
346;0.000000
346;0.000000
346;0.000000
344;0.000000
345;0.000000
346;0.000000
344;0.000000
344;0.000000
345;0.000000
345;0.000000
344;0.000000
341;0.000000
343;0.000000
346;0.000000
347;0.000000
347;0.000000
347;0.000000
353;0.000000
350;0.000000
349;0.000000
347;0.000000
347;0.000000
349;0.000000
349;0.000000
347;0.000000
347;0.000000
349;0.000000
348;0.000000
348;0.000000
349;0.000000
351;0.000000
351;0.000000
351;0.000000
353;0.000000
354;0.000000
354;0.000000
354;0.000000
356;0.000000
355;0.000000
358;0.000000
359;0.000000
357;0.000000
359;0.000000
361;0.000000
363;0.000000
360;0.000000
366;0.000000
367;0.000000
368;57.839451
346;57.839451
327;89.144150
327;90.728020
347;93.816795
369;91.365227
366;90.252190
342;91.918861
336;93.007187
347;93.184319
347;91.274414
335;89.089912
342;90.070168
368;92.136185
365;92.248695
347;90.420372
330;89.051117
328;91.523842
349;93.162598
373;90.357590
367;89.877609
338;90.720345
332;93.531181
